year_film,year_award,ceremony,category,nominee,film,win,reducedString,tconst,primaryTitle,originalTitle
1951,1952,9,New Star Of The Year - Actress,Pier Angeli,Teresa,True,teresa,tt0094121,Teresa,Teresa
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Olivia de Havilland,My Cousin Rachel,False,my cousin rachel,tt4411596,My Cousin Rachel,My Cousin Rachel
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,Ray Milland,The Thief,False,thief,tt0083190,Thief,Thief
1952,1953,10,New Star Of The Year - Actress,Colette Marchand,Moulin Rouge,True,moulin rouge,tt0203009,Moulin Rouge!,Moulin Rouge!
1952,1953,10,Actress In A Leading Role - Musical Or Comedy,Ginger Rogers,Monkey Business,False,monkey business,tt0144321,Monkey Business,Monkey Business
1953,1954,11,Best Performance by an Actress in a Supporting Role in any Motion Picture,Grace Kelly,Mogambo,True,mogambo,tt13462272,Mogambo,Mogambo
1953,1954,11,Best Screenplay - Motion Picture,Helen Deutsch,Lili,True,lili,tt8865864,Lili,Lili
1953,1954,11,Promoting International Understanding,George Seaton,Little Boy Lost,True,little boy lost,tt0077856,Little Boy Lost,Little Boy Lost
1953,1954,11,New Star Of The Year - Actress,Pat Crowley,Money From Home,True,money from home,tt0276341,Money from Home,Money from Home
1953,1954,11,New Star Of The Year - Actress,Barbara Rush,It Came From Outer Space,True,it came from outer space,tt19037678,It Came from Outer Space,It Came from Outer Space
1953,1954,11,Actress In A Leading Role - Musical Or Comedy,Ethel Merman,Call Me Madam,True,call me madam,tt30156756,Call Me Madam,Call Me Madam
1954,1955,12,Best Screenplay - Motion Picture,Ernest Lehman,Sabrina,True,sabrina,tt0114319,Sabrina,Sabrina
1955,1956,13,Best Performance by an Actor in a Supporting Role in any Motion Picture,Arthur Kennedy,Trial,True,trial,tt0108388,The Trial,The Trial
1955,1956,13,Best Performance by an Actor in a Supporting Role in any Motion Picture,Arthur Kennedy,Trial,True,trial,tt5442558,Trial,Trial
1955,1956,13,Best Director - Motion Picture,Joshua Logan,Picnic,True,picnic,tt0281067,Picnic,Picnic
1955,1956,13,Best Director - Motion Picture,Joshua Logan,Picnic,True,picnic,tt1646222,Pic-nic,Pic-nic
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,Carroll Baker,Baby Doll,False,baby doll,tt0122985,Baby Doll,Baby Doll
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,Audrey Hepburn,War and Peace,False,war and peace,tt0192772,War and Peace,War and Peace
1956,1957,14,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cantinflas,Around the World in 80 Days,True,around world in viii0 days,tt0327437,Around the World in 80 Days,Around the World in 80 Days
1956,1957,14,Best Director - Motion Picture,George Stevens,Giant,False,giant,tt5369080,Giant,Giant
1956,1957,14,Best Director - Motion Picture,George Stevens,Giant,False,giant,tt6827652,The Giant,The Giant
1956,1957,14,Best Director - Motion Picture,George Stevens,Giant,False,giant,tt7190556,Giant!,Giant!
1956,1957,14,Promoting International Understanding,Douglas Sirk,Battle Hymn,True,battle hymn,tt0219531,Battle Hymn,Battle Hymn
1956,1957,14,Actress In A Leading Role - Musical Or Comedy,Marilyn Monroe,Bus Stop,False,bus stop,tt14194018,The Bus Stop,The Bus Stop
1956,1957,14,Actress In A Leading Role - Musical Or Comedy,Marilyn Monroe,Bus Stop,False,bus stop,tt14842784,Bus Stop,Bus Stop
1956,1957,14,Actress In A Leading Role - Musical Or Comedy,Debbie Reynolds,Bundle of Joy,False,bundle of joy,tt5791250,Bundle of Joy,Bundle of Joy
1956,1957,14,Foreign Film - Foreign Language,"Finland, Erik Blomberg",The White Reindeer,True,white reindeer,tt10375270,The White Reindeer,The White Reindeer
1956,1957,14,Foreign Film - Foreign Language,"Finland, Erik Blomberg",The White Reindeer,True,white reindeer,tt2570738,White Reindeer,White Reindeer
1957,1958,15,Best Performance by an Actress in a Motion Picture - Drama,Anna Magnani,Wild is the Wind,False,wild is wind,tt1992279,Wild Is the Wind,Wild Is the Wind
1957,1958,15,Best Performance by an Actor in a Motion Picture - Drama,Marlon Brando,Sayonara,False,sayonara,tt19113318,Sayonara,Sayonara
1957,1958,15,New Star Of The Year - Actor,Patrick Wayne,The Searchers,True,searchers,tt12311460,Searchers,Searchers
1958,1959,16,Best Performance by an Actress in a Motion Picture - Drama,Susan Hayward,I Want To Live!,True,i want to live,tt0437241,I Want to Live,I Want to Live
1958,1959,16,Best Performance by an Actress in a Motion Picture - Drama,Jean Simmons,Home Before Dark,False,home before dark,tt0116547,Home Before Dark,Home Before Dark
1958,1959,16,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Maurice Chevalier,Gigi,False,gigi,tt1360867,Gigi,Gigi
1958,1959,16,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Clark Gable,Teacher's Pet,False,teachers pet,tt0350194,Teacher's Pet,Teacher's Pet
1959,1960,17,Best Performance by an Actor in a Motion Picture - Drama,Richard Burton,Look Back In Anger,False,look back in anger,tt12174244,Look Back in Anger,Look Back in Anger
1959,1960,17,Best Performance by an Actor in a Motion Picture - Drama,Charlton Heston,Ben-Hur,False,benhur,tt2638144,Ben-Hur,Ben-Hur
1959,1960,17,Best Performance by an Actor in a Motion Picture - Drama,Fredric March,Middle of the Night,False,middle of night,tt3060342,Middle of the Night,Middle of the Night
1959,1960,17,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Lemmon,Some Like It Hot,True,some like it hot,tt0148993,Some Like It Hot,Some Like It Hot
1959,1960,17,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Clark Gable,But Not For Me,False,but not for me,tt4292478,But Not for Me,But Not for Me
1959,1960,17,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tony Randall,Pillow Talk,False,pillow talk,tt12414880,Pillow Talk,Pillow Talk
1959,1960,17,Foreign Film - Foreign Language,"West Germany, Bernhard Wicki",The Bridge,True,bridge,tt0103881,The Bridge,The Bridge
1959,1960,17,Foreign Film - Foreign Language,"West Germany, Bernhard Wicki",The Bridge,True,bridge,tt12336456,Bridge,Bridge
1960,1961,18,Best Performance by an Actor in a Motion Picture - Drama,Laurence Olivier,Spartacus,False,spartacus,tt12432710,Spartacus,Spartacus
1960,1961,18,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cantinflas,Pepe,False,pepe,tt10781034,Pepe,Pepe
1960,1961,18,Best Performance by an Actress in a Supporting Role in any Motion Picture,Janet Leigh,Psycho,True,psycho,tt0155975,Psycho,Psycho
1960,1961,18,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sal Mineo,Exodus,True,exodus,tt0831316,Exodus,Exodus
1960,1961,18,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sal Mineo,Exodus,True,exodus,tt1113789,Exodus?,Exodus?
1960,1961,18,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sal Mineo,Exodus,True,exodus,tt29056903,EXODUS,EXODUS
1960,1961,18,Best Original Score - Motion Picture,Dimitri Tiomkin,The Alamo,True,alamo,tt0318974,The Alamo,The Alamo
1960,1961,18,Promoting International Understanding,Philip Leacock,Hand In Hand,True,hand in hand,tt0200682,Hand in Hand,Hand in Hand
1960,1961,18,New Star Of The Year - Actor,Mark Damon,House of Usher,True,house of usher,tt0095332,The House of Usher,The House of Usher
1960,1961,18,New Star Of The Year - Actor,Mark Damon,House of Usher,True,house of usher,tt1017442,House of Usher,House of Usher
1960,1961,18,Foreign Film - Foreign Language,"United Soviet Socialist Republics, Grigoriy Chukhray",Ballad Of A Soldier,False,ballad of a soldier,tt2646360,Ballad of a Soldier,Ballad of a Soldier
1961,1962,19,Best Performance by an Actress in a Motion Picture - Drama,Leslie Caron,Fanny,False,fanny,tt0072967,Fanny,Fanny
1961,1962,19,Best Performance by an Actor in a Motion Picture - Drama,Paul Newman,The Hustler,False,hustler,tt0141266,The Hustler,The Hustler
1961,1962,19,Best Performance by an Actor in a Motion Picture - Drama,Paul Newman,The Hustler,False,hustler,tt0365351,Hustler,Hustler
1961,1962,19,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Beymer,West Side Story,False,west side story,tt3581652,West Side Story,West Side Story
1961,1962,19,Best Performance by an Actress in a Supporting Role in any Motion Picture,Pamela Tiffin,"One, Two, Three",False,one two three,tt0145211,"One, Two, Three","One, Two, Three"
1961,1962,19,Best Performance by an Actress in a Supporting Role in any Motion Picture,Pamela Tiffin,"One, Two, Three",False,one two three,tt1176960,One Two Three,One Two Three
1961,1962,19,Best Original Score - Motion Picture,Miklos Rozsa,King Of Kings,False,king of kings,tt28623201,King of Kings,King of Kings
1961,1962,19,Samuel Goldwyn International Award,"United Kingdom, Guy Green",The Mark,True,mark,tt0410300,The Mark,The Mark
1961,1962,19,Samuel Goldwyn International Award,"United Kingdom, Guy Green",The Mark,True,mark,tt11102876,Mark..!,Mark..!
1961,1962,19,Samuel Goldwyn International Award,"United Kingdom, Guy Green",The Mark,True,mark,tt13276738,Mark,Mark
1961,1962,19,Samuel Goldwyn International Award,Greece,Antigone,False,antigone,tt10260042,Antigone,Antigone
1961,1962,19,Samuel Goldwyn International Award,Greece,Antigone,False,antigone,tt2010891,Antigoné,Antigoné
1961,1962,19,New Star Of The Year - Actress,Cordula Trantow,Hitler,False,hitler,tt0245944,Hitler,Hitler
1961,1962,19,Foreign Film - Foreign Language,"Italy, Vittorio De Sica",Two Women,True,two women,tt2572624,Two Women,Two Women
1962,1963,20,Best Performance by an Actress in a Motion Picture - Drama,Shelley Winters,Lolita,False,lolita,tt0119558,Lolita,Lolita
1962,1963,20,Best Performance by an Actor in a Motion Picture - Drama,Bobby Darin,Pressure Point,False,pressure point,tt0182374,Pressure Point,Pressure Point
1962,1963,20,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Karl Malden,Gypsy,False,gypsy,tt28297432,Gypsy,Gypsy
1962,1963,20,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Alberto Sordi,The Best Of Enemies,False,best of enemies,tt0120606,The Best of Enemies,The Best of Enemies
1962,1963,20,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Alberto Sordi,The Best Of Enemies,False,best of enemies,tt3518012,Best of Enemies: Buckley vs. Vidal,Best of Enemies
1962,1963,20,Best Original Score - Motion Picture,Franz Waxman,Taras Bulba,False,taras bulba,tt1242457,Taras Bulba,Taras Bulba
1963,1964,21,Best Performance by an Actor in a Motion Picture - Drama,Stathis Giallelis,"America, America",False,america america,tt0235179,America America,America America
1963,1964,21,Best Performance by an Actor in a Motion Picture - Drama,Stathis Giallelis,"America, America",False,america america,tt0327417,"America, America","America, America"
1963,1964,21,Best Performance by an Actor in a Motion Picture - Drama,Rex Harrison,Cleopatra,False,cleopatra,tt0346765,Cleopatra,Cleopatra
1963,1964,21,Best Performance by an Actor in a Motion Picture - Drama,Rex Harrison,Cleopatra,False,cleopatra,tt0488515,Cleópatra,Cleópatra
1963,1964,21,Best Performance by an Actor in a Motion Picture - Drama,Paul Newman,Hud,False,hud,tt0091230,"Vilde, the Wild One",Hud
1963,1964,21,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cary Grant,Charade,False,charade,tt21611882,Charade,Charade
1963,1964,21,Samuel Goldwyn International Award,"Italy, Vittorio De Sica","Yesterday, Today and Tomorrow",True,yesterday today and tomorrow,tt0186715,"Yesterday, Today and Tomorrow","Yesterday, Today and Tomorrow"
1963,1964,21,New Star Of The Year - Actress,Leslie Parish,For Love or Money,False,for love or money,tt0106941,For Love or Money,For Love or Money
1963,1964,21,New Star Of The Year - Actress,Leslie Parish,For Love or Money,False,for love or money,tt15226282,Townhouse Confidential,For Love or Money
1963,1964,21,Actor In A Television Series,Mickey Rooney,Mickey,True,mickey,tt0277895,Mickey,Mickey
1963,1964,21,Actor In A Television Series,Lorne Greene,Bonanza,False,bonanza,tt15654372,Bonanza,Bonanza
1963,1964,21,Actress In A Television Series,Shirley Booth,Hazel,False,hazel,tt6367996,Hazel,Hazel
1964,1965,22,Best Performance by an Actress in a Motion Picture - Drama,Geraldine Page,Dear Heart,False,dear heart,tt0345116,Dear Heart,Dear Heart
1964,1965,22,Best Performance by an Actress in a Motion Picture - Drama,Jean Seberg,Lilith,False,lilith,tt12530442,Lilith,Lilith
1964,1965,22,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Rex Harrison,My Fair Lady,True,my fair lady,tt10214520,My Fair Lady,My Fair Lady
1964,1965,22,Best Original Song - Motion Picture,"Where Love Has Gone, Jimmy Van Heusen, Sammy Cahn",Where Love Has Gone,False,where love has gone,tt0439041,Where Love Has Gone,Where Love Has Gone
1964,1965,22,Actress In A Television Series,Elizabeth Montgomery,Bewitched,False,bewitched,tt0374536,Bewitched,Bewitched
1965,1966,23,Best Performance by an Actress in a Motion Picture - Drama,Maggie Smith,Othello,False,othello,tt0081287,Othello,Othello
1965,1966,23,Best Performance by an Actress in a Motion Picture - Drama,Julie Christie,Darling,False,darling,tt0319257,Darling,Darling
1965,1966,23,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jerry Lewis,Boeing Boeing,False,boeing boeing,tt0255013,Boeing Boeing,Boeing Boeing
1965,1966,23,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jerry Lewis,Boeing Boeing,False,boeing boeing,tt12787498,"Boeing, Boeing","Boeing, Boeing"
1965,1966,23,Best Original Score - Motion Picture,Johnny Mandel,The Sandpiper,False,sandpiper,tt0448106,The Sandpiper,The Sandpiper
1965,1966,23,New Star Of The Year - Actress,Rosemary Forsyth,Shenandoah,False,shenandoah,tt1697996,Shenandoah,Shenandoah
1965,1966,23,New Star Of The Year - Actress,Maura McGiveney,Do Not Disturb,False,do not disturb,tt0185284,Do Not Disturb,Do Not Disturb
1965,1966,23,Actor In A Television Series,Don Adams,Get Smart,False,get smart,tt0425061,Get Smart,Get Smart
1965,1966,23,Actor In A Television Series,Ben Gazzara,Run For Your Life,False,run for your life,tt0093496,Run for Your Life,Run for Your Life
1966,1967,24,Best Performance by an Actress in a Motion Picture - Drama,Virginia McKenna,Born Free,False,born free,tt10975258,Born Free,Born Free
1966,1967,24,Best Performance by an Actor in a Motion Picture - Drama,Max von Sydow,Hawaii,False,hawaii,tt12938436,Hawaii,Hawaii
1966,1967,24,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Caine,Gambit,False,gambit,tt0225834,Gambit,Gambit
1966,1967,24,New Star Of The Year - Actress,Jessica Walter,Grand Prix,False,grand prix,tt14401508,Grand Prix,Grand Prix
1966,1967,24,Actress In A Leading Role - Musical Or Comedy,Vanessa Redgrave,Morgan!,False,morgan,tt1943765,Morgan,Morgan
1966,1967,24,Actor In A Television Series,Bill Cosby,I Spy,False,i spy,tt0297181,I Spy,I Spy
1966,1967,24,Actress In A Television Series,Marlo Thomas,That Girl,True,that girl,tt15000984,That Girl,That Girl
1967,1968,25,Best Performance by an Actress in a Motion Picture - Drama,Edith Evans,The Whisperers,True,whisperers,tt0481301,The Whisperers,The Whisperers
1967,1968,25,Best Performance by an Actress in a Motion Picture - Drama,Katharine Hepburn,Guess Who's Coming To Dinner,False,guess whos coming to dinner,tt4264990,Guess Who's Coming to Dinner,Guess Who's Coming to Dinner
1967,1968,25,Best Performance by an Actress in a Motion Picture - Drama,Anne Heywood,The Fox,False,fox,tt1324076,Fox,Fox
1967,1968,25,Best Performance by an Actress in a Motion Picture - Drama,Anne Heywood,The Fox,False,fox,tt21067830,The Fox,The Fox
1967,1968,25,Best Performance by an Actor in a Motion Picture - Drama,Rod Steiger,In the Heat of the Night,True,in heat of night,tt0141339,In the Heat of the Night,In the Heat of the Night
1967,1968,25,Best Performance by an Actor in a Motion Picture - Drama,Alan Bates,Far From The Madding Crowd,False,far from madding crowd,tt2935476,Far from the Madding Crowd,Far from the Madding Crowd
